African,European,Asian,name
0,1,1,Andre Agassi
0,1,0,Andy Warhol
0,1,0,Amos Bronson Alcott
0,1,0,Andrew Johnson
0,1,0,Arnold Schwarzenegger
0,0,0,Ani DiFranco
0,1,0,Anthony Hopkins
0,1,0,Anaïs Nin
0,0,0,Adrian Lamo
0,1,1,Al Capp
0,1,0,Arthur Jensen
0,1,1,Albert Brooks
0,1,1,Arlo Guthrie
0,1,0,Bill Gates
0,1,0,Bing Crosby
0,1,0,Blythe Danner
0,1,0,George Herman Ruth
1,1,1,Berry Berenson
0,1,0,Buddy Holly
0,1,0,Burt Lancaster
0,1,1,Allan Huber Selig
0,1,1,Billy Crystal
0,1,0,Bruce Campbell
0,1,0,Barry Goldwater
0,1,0,Bill Bixby
0,1,0,Bela Lugosi
0,1,0,Bill Bryson
1,1,0,Charlize Theron
0,1,0,Courtney Love
0,1,0,Cecil B. DeMille
0,1,1,Carl Sagan
0,1,0,Cecilia Beaux
0,1,0,Charles Evans Hughes
0,0,1,Charles Mingus
0,1,0,Drew Barrymore
0,1,0,David Wark Griffith
0,1,0,David Lynch
0,1,0,Dalton Trumbo
0,1,1,David D. Friedman
0,1,0,Douglas Engelbart
0,1,0,Dave Grohl
0,1,0,Dwight D. Eisenhower
0,1,0,Doris Day
0,1,0,David Letterman
0,0,0,Delroy Lindo
0,1,1,Danny Elfman
0,1,0,Dirk Benedict
0,1,0,Douglas Hofstadter
0,1,0,Dennis Hopper
0,1,1,Danny Kaye
0,1,0,Dale Chihuly
0,1,0,Edward Sapir
0,1,0,Ethan Allen
0,1,0,Edgar Rice Burroughs
0,1,0,Eugene Wigner
0,1,0,Elias Boudinot
0,1,0,Eve Arden
0,1,0,Elyssa Davalos
0,1,0,Elie Wiesel
0,0,1,Frank Zappa
0,1,0,Felix Bloch
0,0,0,Fay Wray
0,1,0,Fiorello La Guardia
0,1,1,Fred Savage
0,1,0,Fritz Lang
0,1,0,George Lucas
0,0,0,Gene Kelly
0,1,0,Garth Brooks
0,0,0,George R. R. Martin
0,1,0,Garry Trudeau
0,1,0,Grover Cleveland
0,1,0,George Peppard
0,1,0,Gene Hackman
0,1,0,Grace Hopper
0,1,0,Gary Kildall
0,1,0,Gia Carangi
0,1,0,George Cukor
0,0,0,Gavin MacLeod
0,1,0,Gary Gygax
